"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1234","User login with wrong email or password","LMS system","Thu Nov 06 09:36:42 UTC 2025","passed","Thu Nov 06 09:36:43 UTC 2025","Authorization","Authentication","",""
"","2237","User login with correct email and password","LMS system","Thu Nov 06 09:36:44 UTC 2025","passed","Thu Nov 06 09:36:46 UTC 2025","Authorization","Authentication","",""
"","1200","User login with wrong email or password","LMS system","Thu Nov 06 09:36:41 UTC 2025","passed","Thu Nov 06 09:36:42 UTC 2025","Authorization","Authentication","",""
"","1393","Registration with correct email, username and password","LMS system","Thu Nov 06 09:36:57 UTC 2025","passed","Thu Nov 06 09:36:58 UTC 2025","Registration","Authentication","",""
"","1456","User login with wrong email or password","LMS system","Thu Nov 06 09:36:39 UTC 2025","passed","Thu Nov 06 09:36:40 UTC 2025","Authorization","Authentication","",""
"","1229","Check displaying of empty courses list","LMS system","Thu Nov 06 09:36:49 UTC 2025","passed","Thu Nov 06 09:36:50 UTC 2025","Courses","Courses","",""
"","1766","Create course","LMS system","Thu Nov 06 09:36:50 UTC 2025","passed","Thu Nov 06 09:36:52 UTC 2025","Courses","Courses","",""
"","1179","Navigation from login page to registration page","LMS system","Thu Nov 06 09:36:46 UTC 2025","passed","Thu Nov 06 09:36:47 UTC 2025","Authorization","Authentication","",""
"","1442","Check displaying of dashboard page","LMS system","Thu Nov 06 09:36:55 UTC 2025","passed","Thu Nov 06 09:36:56 UTC 2025","Dashboard","Dashboard","",""
"","2300","Edit course","LMS system","Thu Nov 06 09:36:52 UTC 2025","passed","Thu Nov 06 09:36:55 UTC 2025","Courses","Courses","",""
